label,ct_1,ct_2,ct_3,ct_4,dm4,re4,rx4,dm3,re3,rx3,dm2,re2,rx2,dm1,re1,rx1,raw_prob,order
1,0.5450048510000001,0.55332166,0.93394166,0.82193404,0.61976755,0.72660583,0.82911825,0.08166037,0.6562551999999999,0.7842119000000001,0.11204698,0.8079728,0.8959799,0.83590364,0.74202204,0.7757745,0.019719063999999998,98
1,0.48356379899999996,0.34967622,0.6343581,0.30827183,0.43462268,0.59101564,0.667676,0.5628894,0.86444277,0.89322364,0.7170416000000001,0.91330415,0.9348663,0.9612591999999999,0.88477796,0.91927654,0.5761845999999999,99
1,0.698157313,0.35134462,0.39080316,0.52058643,0.48882017,0.63885003,0.69656396,0.3114838,0.72455156,0.78366786,0.5580419,0.8446634,0.8578631,0.97296345,0.88887465,0.9115992,0.5038530999999999,100
0,0.436712694,0.054846127,0.53801876,0.7373621,0.57443196,0.6645835,0.75429916,0.11692078,0.53817743,0.49782035,0.17814460000000001,0.46861369999999997,0.5739194999999999,0.86064386,0.61184496,0.6598208999999999,0.09168297,101
1,0.408515972,0.14968410000000001,0.06787432,0.74227494,0.5991854,0.7014451,0.75822246,0.15635462,0.5190315999999999,0.6398847,0.45541403,0.7428260999999999,0.7871060000000001,0.93843937,0.7683009,0.8644666999999999,0.46351135,103
0,0.491418928,0.17237899,0.48660788,0.9763222,0.8037158,0.8817135,0.8902745999999999,0.5290486,0.8830749,0.9247224,0.64180505,0.9166305,0.91721046,0.9756527,0.9299108,0.9405511999999999,0.6293692,124
1,0.32005145399999996,0.1360181,0.2008681,0.8926860000000001,0.6608815,0.7788864000000001,0.8256502,0.26476583,0.7038584,0.7458885999999999,0.53307104,0.83460706,0.7944444,0.93967104,0.8150727,0.8628091999999998,0.44123945,140
1,0.419277322,0.09472129,0.4374327,0.040578675,0.3340526,0.5135225,0.529999,0.48717764,0.8771707000000001,0.88747114,0.5966383000000001,0.9143921999999999,0.8896871,0.9742255,0.91862494,0.9238133,0.573952,126
1,0.642967582,0.25933394,0.9181034,0.97739846,0.758151,0.86291116,0.88071764,0.7124348,0.9391187,0.955723,0.6611996,0.91548854,0.92270416,0.9580054,0.9194399999999999,0.9588257,0.63555557,165
1,0.570976418,0.5840219,0.95895946,0.96495193,0.7857689999999999,0.8572798,0.8795423000000001,0.7383284999999999,0.94785714,0.96575415,0.80382556,0.9600576,0.9579780000000001,0.98205376,0.9278879000000001,0.95088774,0.6151169,164
1,0.423203516,0.04008724,0.6144175999999999,0.6513616999999999,0.5794301,0.7063052,0.7575799,0.46218348,0.8300622,0.8358448,0.51065695,0.7586016999999999,0.76948,0.9534969999999999,0.8030704000000001,0.86384004,0.42234296,151
1,0.538246721,0.22350076,0.476559,0.95218325,0.7093911,0.7881254,0.83591706,0.38452062,0.76421505,0.7727943,0.60880506,0.80000854,0.8008875,0.9644315,0.84109914,0.8934769,0.5073492000000001,150
1,0.576634234,0.26595268,0.6192704000000001,0.96548504,0.7907835,0.8724839,0.89422035,0.59738314,0.9073359000000001,0.9507476,0.6819988,0.93607116,0.9424145,0.98067755,0.93929,0.957477,0.65200233,153
1,0.462818646,0.056390032,0.26268637,0.7620781999999999,0.6059089,0.72203165,0.75867045,0.092127,0.48555416,0.62532914,0.23255838,0.650079,0.7524692,0.87804604,0.71476877,0.79819125,0.19504456,154
0,0.324645537,0.12662415,0.6453262,0.8229893,0.6336951,0.6950105,0.7542191999999999,0.26325685,0.66312456,0.563721,0.252923,0.49456167,0.5434311,0.77933663,0.5719681,0.61977375,0.16925675,155
1,0.602231622,0.77776814,0.9465956,0.85129386,0.6745661000000001,0.79040897,0.8431055000000001,0.66999006,0.93765324,0.9209605,0.813365,0.9550353000000001,0.93449724,0.9721370999999999,0.9208642,0.91008437,0.41562977,156
0,0.313875759,0.21957183,0.30634102,0.29816875,0.38952628,0.45040792,0.5384014,0.20566073,0.53286445,0.5194977,0.45206085,0.6327901999999999,0.65013707,0.8793668,0.6305474,0.69926065,0.35510933,157
1,0.644698358,0.26009372,0.89215916,0.7443475,0.5910736,0.70065427,0.77161986,0.52764696,0.88041043,0.8958671999999999,0.49977514,0.81900007,0.834807,0.96938175,0.87043107,0.9179027,0.41094455,158
1,0.404688728,0.1576237,0.31695893,0.67160374,0.54807687,0.6618630999999999,0.7233729999999999,0.15682068,0.53261614,0.7143616,0.31252384,0.7230595999999999,0.76984394,0.94774485,0.7445526,0.83716345,0.117865086,159
1,0.379369506,0.40310124,0.8770252000000001,0.8915708000000001,0.70240307,0.8186268,0.85205054,0.63102466,0.9187478000000001,0.9119299999999999,0.68436503,0.9018021999999999,0.8850138000000001,0.9375187,0.8565565999999999,0.8664791999999999,0.48281592,160
